State,District,Block,total_recharge_ham,annual_extractable_resource_ham,total_extraction_ham,stage_of_extraction_pct,category
28,503,4793,17185,14180,7134,50.31,Safe
28,503,4794,19552,16838,14917,88.59,Semi-Critical
28,503,4795,9859,6959,7131,102.47,Over-Exploited
28,503,4796,11331,9148,7717,84.36,Semi-Critical
28,503,4797,13571,10446,5803,55.55,Safe
28,503,4798,13684,10020,4382,43.73,Safe
28,503,4799,12208,8849,7349,83.05,Semi-Critical
28,503,4800,10276,8742,3786,43.31,Safe
28,503,4801,7062,5867,4863,82.89,Semi-Critical
28,503,4802,17076,13035,7272,55.79,Safe
28,503,4803,5064,4141,4278,103.31,Over-Exploited
28,503,4804,13006,10704,7841,73.25,Semi-Critical
28,503,4806,7568,5666,3154,55.67,Safe
28,503,4807,10463,9029,9003,99.71,Critical
28,503,4808,18440,16508,9538,57.78,Safe
28,503,4809,7027,6309,3877,61.45,Safe
28,503,4810,7695,6545,6440,98.4,Critical
28,503,4811,14687,12159,7491,61.61,Safe
28,503,4812,10258,7337,5041,68.71,Safe
28,503,4813,10618,8196,5273,64.34,Safe
28,503,4814,11736,8488,4086,48.14,Safe
28,505,4865,5391,5072,2166,42.71,Safe
28,505,4866,18986,13931,12637,90.71,Critical
28,505,4867,17706,13066,11126,85.15,Semi-Critical
28,505,4868,19624,18101,10818,59.76,Safe
28,505,4869,17666,16535,10035,60.69,Safe
28,505,4870,10892,9709,10306,106.15,Over-Exploited
28,505,4871,8561,6004,6552,109.13,Over-Exploited
28,505,4872,15470,10834,7924,73.14,Semi-Critical
28,505,4873,11184,8885,8544,96.16,Critical
28,505,5062,8099,5959,5456,91.56,Critical
28,505,4874,11278,7946,4832,60.81,Safe
28,505,4875,13392,10928,4819,44.1,Safe
28,505,4876,19151,17920,8956,49.98,Safe
28,505,4877,18067,14109,13922,98.67,Critical
28,505,4878,8104,7012,6393,91.17,Critical
28,505,4879,12215,10542,9119,86.5,Semi-Critical
28,505,4880,17790,13569,6668,49.14,Safe
28,505,4881,7454,6429,5451,84.79,Semi-Critical
28,505,4882,16837,12679,11924,94.05,Critical
28,505,4883,19039,13908,13941,100.24,Over-Exploited
28,505,6503,13996,12251,5013,40.92,Safe
28,505,4884,19434,14154,12443,87.91,Semi-Critical
28,505,4885,7731,7338,3033,41.33,Safe
28,505,4886,19183,14307,12802,89.48,Semi-Critical
28,505,4887,15965,13546,11445,84.49,Semi-Critical
28,505,4888,13154,10560,5320,50.38,Safe
28,505,4889,14762,10799,10110,93.62,Critical
28,505,4891,10056,7109,3183,44.77,Safe
28,505,5076,19948,17069,16701,97.84,Critical
28,505,4892,13110,11821,6895,58.33,Safe
28,505,4893,18773,17092,15078,88.22,Semi-Critical
28,505,4894,15882,13034,13641,104.66,Over-Exploited
28,505,4895,8840,7906,5043,63.79,Safe
28,505,4896,6028,5233,3935,75.2,Semi-Critical
28,505,6829,12385,10911,7901,72.41,Semi-Critical
28,505,4898,5502,4528,2310,51.02,Safe
28,505,4899,11910,10222,8312,81.31,Semi-Critical
28,505,4900,17685,15940,14666,92.01,Critical
28,505,4897,14062,11242,11712,104.18,Over-Exploited
28,505,4901,11938,10762,10714,99.55,Critical
28,505,4902,9488,8045,6090,75.7,Semi-Critical
28,505,4903,5206,3860,3486,90.31,Critical
28,505,6502,10134,7156,6873,96.05,Critical
28,505,4904,10977,8679,6469,74.54,Semi-Critical
28,505,4905,12721,10643,5117,48.08,Safe
28,505,4906,12035,10951,7737,70.65,Semi-Critical
28,505,4907,6484,4745,4696,98.97,Critical
28,505,4908,12858,11572,9461,81.76,Semi-Critical
28,505,4909,5863,5369,4870,90.71,Critical
28,505,4910,7790,5746,3043,52.96,Safe
28,505,4911,12408,11327,12176,107.5,Over-Exploited
28,505,6501,13755,13037,8902,68.28,Safe
28,505,4912,10116,8919,7648,85.75,Semi-Critical
28,505,4913,17383,15578,6436,41.31,Safe
28,505,4914,11019,10452,5112,48.91,Safe
28,505,4915,6757,5752,5449,94.73,Critical
28,505,4916,19820,15399,16593,107.75,Over-Exploited
28,505,4917,12574,11434,7135,62.4,Safe
28,505,4918,11374,9709,4136,42.6,Safe
28,505,4890,11892,10052,6560,65.26,Safe
28,505,4919,6678,5098,2101,41.21,Safe
28,505,5091,8242,7327,3917,53.46,Safe
28,505,4921,9636,6941,6432,92.67,Critical
28,505,4920,6059,5641,5956,105.58,Over-Exploited
28,506,4923,11668,9118,4205,46.12,Safe
28,506,4924,18471,13519,10687,79.05,Semi-Critical
28,506,4925,14914,12089,6984,57.77,Safe
28,506,4926,16506,11729,5833,49.73,Safe
28,506,4927,8157,7106,3931,55.32,Safe
28,506,4928,10915,10103,8127,80.44,Semi-Critical
28,506,4929,15817,14382,6408,44.56,Safe
28,506,4930,15921,11651,8201,70.39,Semi-Critical
28,506,4931,19892,14552,7198,49.46,Safe
28,506,4932,14789,13359,7893,59.08,Safe
28,506,4933,16252,15131,8072,53.35,Safe
28,506,4934,7693,6271,6384,101.8,Over-Exploited
28,506,4935,18083,14913,13356,89.56,Semi-Critical
28,506,4936,18339,14296,14409,100.79,Over-Exploited
28,506,4937,18931,17484,11686,66.84,Safe
28,506,4938,8627,7429,4601,61.93,Safe
28,506,4939,14555,11237,7488,66.64,Safe
28,506,4940,15173,11754,4854,41.3,Safe
28,506,4941,10450,9643,8749,90.73,Critical
28,506,4942,6663,4686,3021,64.47,Safe
28,506,4943,14721,11492,7117,61.93,Safe
28,506,4944,15230,12771,10455,81.87,Semi-Critical
28,506,4945,10592,7806,5506,70.54,Semi-Critical
28,506,4946,16494,11925,12957,108.65,Over-Exploited
28,506,4947,15429,13945,9055,64.93,Safe
28,506,4948,12392,11445,9496,82.97,Semi-Critical
28,506,4949,18696,16936,10469,61.82,Safe
28,506,4950,18688,17280,18894,109.34,Over-Exploited
28,506,4951,6306,5286,3761,71.15,Semi-Critical
28,506,4952,17221,15551,13123,84.39,Semi-Critical
28,506,4953,11776,9373,4580,48.86,Safe
28,506,4954,15867,13749,12554,91.31,Critical
28,506,4955,18260,17296,10177,58.84,Safe
28,506,4956,10864,8217,5867,71.4,Semi-Critical
28,506,4957,14474,11542,11751,101.81,Over-Exploited
28,506,4958,12526,10271,11086,107.93,Over-Exploited
28,506,4959,13901,10210,7118,69.72,Safe
28,506,4960,10575,7616,7496,98.42,Critical
28,506,4961,10530,9555,4178,43.73,Safe
28,506,4962,17936,16935,16821,99.33,Critical
28,506,4963,9413,7541,6339,84.06,Semi-Critical
28,506,4964,8748,6315,4686,74.2,Semi-Critical
28,506,4965,18545,13286,13591,102.3,Over-Exploited
28,506,4966,17971,16584,16446,99.17,Critical
28,506,4967,5663,4620,2808,60.78,Safe
28,506,4968,6998,5458,5207,95.4,Critical
28,506,4969,12994,10643,4998,46.96,Safe
28,506,4970,16637,12969,12656,97.59,Critical
28,506,4971,16935,13924,12153,87.28,Semi-Critical
28,506,4972,18919,17308,7987,46.15,Safe
28,506,4973,6495,5508,4836,87.8,Semi-Critical
28,506,4974,8304,7254,5849,80.63,Semi-Critical
28,506,4975,8763,6933,5658,81.61,Semi-Critical
28,506,4976,10232,9051,5463,60.36,Safe
28,506,4977,6853,5939,3483,58.65,Safe
28,506,4978,18808,13727,12817,93.37,Critical
28,506,4979,11585,9768,5663,57.98,Safe
28,510,5100,17851,13641,9717,71.23,Semi-Critical
28,510,5099,6291,5668,5023,88.62,Semi-Critical
28,510,5101,8581,6920,3153,45.56,Safe
28,510,5102,16649,15794,12890,81.61,Semi-Critical
28,510,5103,12554,9078,7376,81.25,Semi-Critical
28,510,5104,12280,10991,9660,87.89,Semi-Critical
28,510,5105,6636,5762,3796,65.88,Safe
28,510,5106,8696,7755,5539,71.42,Semi-Critical
28,510,5108,16191,12578,7936,63.09,Safe
28,510,5109,16344,13451,12989,96.57,Critical
28,510,5110,5698,5123,2517,49.13,Safe
28,510,5107,15352,11638,12500,107.41,Over-Exploited
28,510,5111,17289,13079,11043,84.43,Semi-Critical
28,510,5112,9737,8157,8326,102.07,Over-Exploited
28,510,5113,19555,16248,11346,69.83,Safe
28,510,5114,18877,14545,9201,63.26,Safe
28,510,5115,5854,4534,4672,103.04,Over-Exploited
28,510,5116,13164,10129,4752,46.91,Safe
28,510,5117,10855,9692,4671,48.19,Safe
28,510,5118,12392,10693,6517,60.95,Safe
28,510,5119,11528,10468,11220,107.18,Over-Exploited
28,510,5120,16666,15730,13262,84.31,Semi-Critical
28,510,5121,18949,15510,12220,78.79,Semi-Critical
28,510,5122,10249,7345,6564,89.37,Semi-Critical
28,510,5123,10172,7242,5013,69.22,Safe
28,510,5124,6707,5190,4830,93.06,Critical
28,510,5125,15969,14901,10062,67.53,Safe
28,510,5126,10791,8965,8771,97.84,Critical
28,510,5127,14925,11461,6728,58.7,Safe
28,510,5128,10535,8425,5006,59.42,Safe
28,510,5129,19582,16637,12738,76.56,Semi-Critical
28,510,5130,9931,8572,6013,70.15,Semi-Critical
28,510,5131,8510,6284,5364,85.36,Semi-Critical
28,510,5132,5202,4912,3217,65.49,Safe
28,510,5133,16447,13752,7720,56.14,Safe
28,510,5134,9218,6765,4930,72.88,Semi-Critical
28,510,5135,17688,16333,12946,79.26,Semi-Critical
28,510,5136,13958,10031,5013,49.98,Safe
28,510,5137,9389,8702,6871,78.96,Semi-Critical
28,510,5138,7327,6954,4335,62.34,Safe
28,510,5139,13004,11379,7677,67.47,Safe
28,510,5140,7931,7079,4215,59.54,Safe
28,510,5141,12777,10021,10541,105.19,Over-Exploited
28,510,5142,5197,4861,4269,87.82,Semi-Critical
28,510,5143,12125,10093,5891,58.37,Safe
28,510,5144,6930,6119,5210,85.14,Semi-Critical
28,510,5145,16774,15617,15523,99.4,Critical
28,510,5146,11287,10652,7255,68.11,Safe
28,510,5147,13800,12534,12295,98.09,Critical
28,510,5148,16464,12772,6489,50.81,Safe
28,511,5149,14339,13502,13177,97.59,Critical
28,511,5150,9282,7954,6189,77.81,Semi-Critical
28,511,5151,16589,15471,8603,55.61,Safe
28,511,5152,7511,6527,4470,68.48,Safe
28,511,5153,14986,11641,12707,109.16,Over-Exploited
28,511,5154,5659,4484,4253,94.85,Critical
28,511,5155,7811,6542,5250,80.25,Semi-Critical
28,511,5156,12098,10857,5218,48.06,Safe
28,511,5157,19243,14999,10386,69.24,Safe
28,511,5158,11546,9755,5698,58.41,Safe
28,511,5159,14561,11450,5149,44.97,Safe
28,511,5160,6986,6314,4922,77.95,Semi-Critical
28,511,5161,18822,15371,15715,102.24,Over-Exploited
28,511,5162,13338,9592,8373,87.29,Semi-Critical
28,511,5163,16411,12168,6993,57.47,Safe
28,511,5164,7911,5658,4534,80.13,Semi-Critical
28,511,5165,6734,5554,5888,106.01,Over-Exploited
28,511,5166,6843,4972,4504,90.59,Critical
28,511,5167,13680,9966,8796,88.26,Semi-Critical
28,511,5168,7976,7459,8038,107.76,Over-Exploited
28,511,5169,6959,6389,6128,95.91,Critical
28,511,5170,10759,8747,4335,49.56,Safe
28,511,5171,11694,11067,7119,64.33,Safe
28,511,5172,7385,5169,5559,107.54,Over-Exploited
28,511,5173,16111,13750,10213,74.28,Semi-Critical
28,511,5174,9736,8315,3975,47.81,Safe
28,511,5175,6802,5539,3993,72.09,Semi-Critical
28,511,5176,13155,10513,9334,88.79,Semi-Critical
28,511,5177,13120,10677,11726,109.82,Over-Exploited
28,511,5178,11616,9336,5851,62.67,Safe
28,511,5179,19257,16996,12914,75.98,Semi-Critical
28,511,5180,19486,14299,14524,101.57,Over-Exploited
28,511,5181,10534,7894,5120,64.86,Safe
28,511,5182,9061,6751,3216,47.64,Safe
28,511,5183,16561,12679,13493,106.42,Over-Exploited
28,511,5184,18922,15730,11670,74.19,Semi-Critical
28,511,5185,5262,3829,2879,75.19,Semi-Critical
28,511,5186,19075,17492,14603,83.48,Semi-Critical
28,511,5187,11287,8739,3517,40.24,Safe
28,511,5188,19681,14576,15330,105.17,Over-Exploited
28,511,5189,13815,12003,7838,65.3,Safe
28,511,5190,14208,10080,6832,67.78,Safe
28,511,5191,16835,14393,7511,52.19,Safe
28,511,5192,18168,15888,10560,66.47,Safe
28,511,5193,7049,5313,5115,96.27,Critical
28,511,5194,10423,7405,7108,95.99,Critical
28,511,5195,19589,15493,16346,105.51,Over-Exploited
28,511,5196,16915,12257,8362,68.22,Safe
28,511,5197,9548,6961,6237,89.6,Semi-Critical
28,511,5198,8108,6190,4673,75.49,Semi-Critical
28,511,5199,18471,14294,13762,96.28,Critical
28,511,5200,17282,14387,12930,89.87,Semi-Critical
28,511,5201,12158,10572,6951,65.75,Safe
28,511,5202,15248,12933,8221,63.57,Safe
28,517,5454,12400,9139,5270,57.66,Safe
28,517,5455,8170,6070,4877,80.35,Semi-Critical
28,517,5456,14874,13679,14700,107.46,Over-Exploited
28,517,5457,7255,6091,3289,54.0,Safe
28,517,5458,6154,5646,2634,46.65,Safe
28,517,5459,9499,7531,3641,48.35,Safe
28,517,5460,11295,9641,9141,94.81,Critical
28,517,5461,11197,9303,6001,64.51,Safe
28,517,5462,16383,12775,7116,55.7,Safe
28,517,5463,14888,12170,7873,64.69,Safe
28,517,5464,17183,14186,12082,85.17,Semi-Critical
28,517,5465,17915,13439,10519,78.27,Semi-Critical
28,517,5466,17874,13919,12812,92.05,Critical
28,517,5467,6648,5968,3803,63.72,Safe
28,517,5468,10539,9790,7013,71.63,Semi-Critical
28,517,5469,14637,11562,5450,47.14,Safe
28,517,5470,9199,7145,3223,45.11,Safe
28,517,5471,17115,12815,9272,72.35,Semi-Critical
28,517,5472,13445,11692,7145,61.11,Safe
28,517,5473,16375,12785,10598,82.89,Semi-Critical
28,517,5474,7557,7156,3077,43.0,Safe
28,517,5475,10592,8276,4015,48.51,Safe
28,517,5476,5098,4070,4092,100.54,Over-Exploited
28,517,5477,7200,6126,4878,79.63,Semi-Critical
28,517,5478,19172,17262,15508,89.84,Semi-Critical
28,517,5479,7961,6507,6437,98.92,Critical
28,517,5480,19207,15474,11213,72.46,Semi-Critical
28,517,5481,9973,9463,8826,93.27,Critical
28,517,5482,9433,6627,5084,76.72,Semi-Critical
28,517,5483,16969,15675,8714,55.59,Safe
28,517,5484,7869,5801,3691,63.63,Safe
28,517,5485,16426,14725,10944,74.32,Semi-Critical
28,517,5486,16983,14511,9023,62.18,Safe
28,517,5487,5956,4678,2969,63.47,Safe
28,517,5488,18992,17443,11096,63.61,Safe
28,517,5489,17259,12136,5897,48.59,Safe
28,517,5490,13352,10103,4639,45.92,Safe
28,517,5491,10699,9005,3895,43.25,Safe
28,517,5492,11944,9410,4494,47.76,Safe
28,517,5493,9493,8093,5184,64.06,Safe
28,517,5494,14492,10231,8345,81.57,Semi-Critical
28,517,5495,9911,7226,3842,53.17,Safe
28,517,5496,8987,6576,6718,102.16,Over-Exploited
28,517,5497,14719,10999,10623,96.58,Critical
28,517,5498,11015,8975,6860,76.43,Semi-Critical
28,517,5501,18703,16608,15062,90.69,Critical
28,517,5499,18446,17088,11217,65.64,Safe
28,517,5500,6218,5651,2405,42.56,Safe
28,517,5502,9496,7114,7348,103.29,Over-Exploited
28,517,5503,9735,7888,3860,48.94,Safe
28,517,5504,16296,12219,12995,106.35,Over-Exploited
28,517,5505,15927,12201,9764,80.03,Semi-Critical
28,517,5506,9555,7891,4844,61.39,Safe
28,517,5507,14146,10143,7575,74.68,Semi-Critical
28,517,5508,13050,9846,7395,75.11,Semi-Critical
28,517,5509,17757,16582,6903,41.63,Safe
28,515,5372,8446,6896,4474,64.88,Safe
28,515,5373,6045,4904,4501,91.78,Critical
28,515,5374,11893,8368,6334,75.69,Semi-Critical
28,515,5375,6693,5099,2911,57.09,Safe
28,515,5376,19373,17756,11267,63.45,Safe
28,515,5377,19565,14500,14560,100.41,Over-Exploited
28,515,5378,8436,6780,5206,76.78,Semi-Critical
28,515,5379,13754,9677,7449,76.98,Semi-Critical
28,515,5380,15677,12848,13786,107.3,Over-Exploited
28,515,5381,10895,7683,4798,62.45,Safe
28,515,5382,8354,7559,5560,73.55,Semi-Critical
28,515,5383,19362,17546,16988,96.82,Critical
28,515,5384,5225,4686,4363,93.11,Critical
28,515,5385,9893,7625,4468,58.6,Safe
28,515,5386,19619,17839,9022,50.57,Safe
28,515,5387,12022,10047,8946,89.04,Semi-Critical
28,515,5388,14151,11228,6516,58.03,Safe
28,515,5389,10600,9077,9493,104.58,Over-Exploited
28,515,5390,17740,12472,6117,49.05,Safe
28,515,5391,16259,11962,7450,62.28,Safe
28,515,5392,12996,11508,5044,43.83,Safe
28,515,5393,14007,10659,9511,89.23,Semi-Critical
28,515,5394,17946,15245,15609,102.39,Over-Exploited
28,515,5395,12683,10099,8534,84.5,Semi-Critical
28,515,5396,9642,8809,9306,105.64,Over-Exploited
28,515,5397,18503,17357,8504,48.99,Safe
28,515,5398,16312,15021,6930,46.14,Safe
28,515,5399,12679,9733,9605,98.68,Critical
28,515,5400,13208,9886,9874,99.88,Critical
28,515,5401,12339,10100,9915,98.17,Critical
28,515,5402,14435,10130,9717,95.92,Critical
28,515,5403,7205,5089,3325,65.34,Safe
28,515,5404,15716,13175,7275,55.22,Safe
28,515,5405,6069,5037,5289,105.0,Over-Exploited
28,515,5406,8444,8010,4925,61.49,Safe
28,515,5407,15757,11825,8027,67.88,Safe
28,515,5408,19434,14857,13218,88.97,Semi-Critical
28,515,5409,19056,13880,8402,60.53,Safe
28,515,5410,6060,5632,5482,97.34,Critical
28,515,5411,7327,6553,2942,44.9,Safe
28,515,5412,8420,7625,7272,95.37,Critical
28,515,5413,19832,18358,15077,82.13,Semi-Critical
28,515,5414,5301,4406,3529,80.1,Semi-Critical
28,515,5415,17468,14197,10234,72.09,Semi-Critical
28,515,5416,5606,4387,2605,59.38,Safe
28,515,5417,8170,6922,5017,72.48,Semi-Critical
28,519,5543,5699,4636,3314,71.48,Semi-Critical
28,519,5544,10088,8200,6630,80.85,Semi-Critical
28,519,5545,14331,13388,7994,59.71,Safe
28,519,5546,5190,4909,2230,45.43,Safe
28,519,5547,15492,13929,6986,50.15,Safe
28,519,5548,5980,5317,4729,88.94,Semi-Critical
28,519,5549,7975,6939,2884,41.56,Safe
28,519,5550,11102,8232,8227,99.94,Critical
28,519,5551,6184,4420,3916,88.6,Semi-Critical
28,519,5552,8327,7266,6813,93.77,Critical
28,519,5553,8394,7405,7295,98.51,Critical
28,519,5554,13319,9479,4605,48.58,Safe
28,519,5555,15257,14219,13873,97.57,Critical
28,519,5557,6816,4926,3710,75.31,Semi-Critical
28,519,5556,10854,8373,8539,101.98,Over-Exploited
28,519,5558,11709,10164,10373,102.06,Over-Exploited
28,519,5559,5569,4134,1723,41.68,Safe
28,519,5560,10442,7454,4979,66.8,Safe
28,519,5561,6895,5397,4147,76.84,Semi-Critical
28,519,5562,7733,6893,6030,87.48,Semi-Critical
28,519,5563,8863,7120,4274,60.03,Safe
28,519,5564,17913,15463,8914,57.65,Safe
28,519,5565,12455,10523,7017,66.68,Safe
28,519,5566,9014,6359,4773,75.06,Semi-Critical
28,519,5567,16093,15242,16244,106.57,Over-Exploited
28,519,5568,6686,4749,4433,93.35,Critical
28,519,5569,8009,7544,5284,70.04,Semi-Critical
28,519,5570,12806,10724,4697,43.8,Safe
28,519,5571,5154,4848,2511,51.79,Safe
28,519,5572,15729,11461,8242,71.91,Semi-Critical
28,519,5573,6409,5272,5112,96.97,Critical
28,519,5574,17249,12805,8534,66.65,Safe
28,519,5575,5784,4122,3202,77.68,Semi-Critical
28,519,5576,16367,13983,14322,102.42,Over-Exploited
28,519,5577,13096,9847,10237,103.96,Over-Exploited
28,519,5578,12560,10637,5861,55.1,Safe
28,519,5579,17533,12765,5495,43.05,Safe
28,519,5580,12343,9664,5931,61.37,Safe
28,520,5581,12206,10929,9694,88.7,Semi-Critical
28,520,5582,10596,8574,9137,106.57,Over-Exploited
28,520,5583,10801,9255,4201,45.39,Safe
28,520,5584,7806,6727,2824,41.98,Safe
28,520,5585,5537,5043,5138,101.88,Over-Exploited
28,520,5586,10986,8582,7927,92.37,Critical
28,520,5587,6841,5964,6528,109.46,Over-Exploited
28,520,5588,18208,17122,11604,67.77,Safe
28,520,5589,15647,13809,9545,69.12,Safe
28,520,5590,13716,11280,5872,52.06,Safe
28,520,5591,11971,10267,4939,48.11,Safe
28,520,5592,10625,9402,7569,80.5,Semi-Critical
28,520,5594,7950,6781,4441,65.49,Safe
28,520,5593,12992,9148,4173,45.62,Safe
28,520,5595,17323,12969,13239,102.08,Over-Exploited
28,520,5596,9780,8827,4756,53.88,Safe
28,520,5597,17307,13294,12283,92.4,Critical
28,520,5599,7368,6505,3887,59.75,Safe
28,520,5598,17039,13512,13093,96.9,Critical
28,520,5600,11655,9679,4673,48.28,Safe
28,520,5601,13173,9444,8775,92.92,Critical
28,520,5602,9495,7076,3316,46.86,Safe
28,520,5603,15893,14928,10641,71.28,Semi-Critical
28,520,5604,14163,13065,11938,91.37,Critical
28,520,5605,11002,9495,4949,52.12,Safe
28,520,5606,11614,9464,5678,60.0,Safe
28,520,5607,14358,12476,12542,100.53,Over-Exploited
28,520,5608,18403,15728,16036,101.96,Over-Exploited
28,520,5609,18121,15260,6584,43.15,Safe
28,520,5610,10919,7804,4039,51.76,Safe
28,520,5611,15966,13702,6607,48.22,Safe
28,520,5612,15174,13538,7118,52.58,Safe
28,520,5613,5853,5551,5990,107.91,Over-Exploited
28,520,5614,9146,6427,5052,78.61,Semi-Critical
28,520,5615,16928,14939,10870,72.76,Semi-Critical
28,520,5616,8769,7391,8049,108.9,Over-Exploited
28,520,5617,5574,4506,3559,78.98,Semi-Critical
28,520,5618,16453,12041,10388,86.27,Semi-Critical
28,520,5620,6148,4932,3121,63.28,Safe
28,520,5619,11293,8905,5943,66.74,Safe
